SYMBOL;SERIES;OPEN;HIGH;LOW;CLOSE;LAST;PREVCLOSE;TOTTRDQTY;TOTTRDVAL;TIMESTAMP;TOTALTRADES;ISIN
MAHEPC;EQ;160.6;161.55;154.85;157.4;157.4;160.25;138693;22006820.2;06-JAN-2021;3088;INE215D01010
MAHESHWARI;BE;94.2;94.2;90.05;92.85;93.5;89.75;59667;5575448.5;06-JAN-2021;517;INE263W01010
MAHINDCIE;EQ;174;174.65;169.05;171.6;170;172.65;104434;18038134.45;06-JAN-2021;4493;INE536H01010
MAHLIFE;EQ;370;375;367.05;372.3;371;368.25;111571;41369842.75;06-JAN-2021;2965;INE813A01018
MAHLOG;EQ;420;424.95;420;422.15;422;423.15;23086;9738603.75;06-JAN-2021;2533;INE766P01016
MAHSCOOTER;EQ;3778;3815;3725;3739.75;3750;3776.7;4277;16116680.6;06-JAN-2021;1032;INE288A01013
MAHSEAMLES;EQ;323.9;329.9;319.85;325;323.8;319.85;88647;28876446.25;06-JAN-2021;3099;INE271B01025
MAITHANALL;EQ;643.65;659.9;625.1;642.25;640.95;640.4;135385;86804454.15;06-JAN-2021;6747;INE683C01011
MAJESCO;EQ;18.7;18.7;18.7;18.7;18.7;17.85;109569;2048940.3;06-JAN-2021;428;INE898S01029
MALUPAPER;BE;30.6;30.6;29.05;30.1;30.1;30.15;22253;667118.15;06-JAN-2021;104;INE383H01017
MAN50ETF;EQ;144.93;145.21;143.5;144.41;144.36;144.93;6858;988405.24;06-JAN-2021;111;INF769K01EG9
MANAKALUCO;EQ;9.5;10.25;9.5;9.9;9.95;9.35;104876;1044568;06-JAN-2021;338;INE859Q01017
MANAKCOAT;EQ;8;8.45;7.9;7.95;7.9;8.3;33710;269138.55;06-JAN-2021;170;INE830Q01018
MANAKSIA;EQ;59.95;59.95;56.5;57.55;57.35;58.2;67619;3907300.4;06-JAN-2021;757;INE015D01022
MANAKSTEEL;EQ;29.6;29.6;28;28.65;28.7;28.2;376443;11000497.3;06-JAN-2021;1142;INE824Q01011
MANALIPETC;EQ;35.5;36.5;35.2;35.4;35.5;35.5;674878;24179114.5;06-JAN-2021;2170;INE201A01024
MANAPPURAM;EQ;175;175.75;171.25;173.95;173.75;173.75;5773730;1006508117.95;06-JAN-2021;25095;INE522D01027
MANGALAM;EQ;140.5;141.5;138.1;139.25;138.85;140.2;44411;6210678.9;06-JAN-2021;582;INE584F01014
MANGCHEFER;EQ;56;58;53.15;55.15;54.8;55.3;3157658;177543550.25;06-JAN-2021;10026;INE558B01017
MANGLMCEM;EQ;263.45;269.4;259;263.45;266.15;263.5;120449;31722757.95;06-JAN-2021;2357;INE347A01017
MANGTIMBER;EQ;10.7;10.7;10;10.4;10.5;10.45;10644;111151.45;06-JAN-2021;73;INE805B01012
MANINDS;EQ;86.9;87.9;81.9;84.75;84.4;84.35;607225;51957354.4;06-JAN-2021;5860;INE993A01026
MANINFRA;EQ;34.35;36.9;34;35.55;35.6;33.95;3735598;134307623.7;06-JAN-2021;12166;INE949H01023
MANUGRAPH;EQ;15.05;15.05;13.65;14.8;14.2;14.35;53712;794662.95;06-JAN-2021;352;INE867A01022
MANXT50;EQ;335.18;338.75;331.44;334.69;334.61;335.18;9310;3118099.47;06-JAN-2021;159;INF769K01FN2
MARALOVER;BE;28.15;30.5;28.15;29;29.5;29.1;43747;1301265.05;06-JAN-2021;238;INE882A01013
MARATHON;EQ;98.2;100.9;97.15;98.1;97.6;98.9;221207;21910500.5;06-JAN-2021;408;INE182D01020
MARICO;EQ;423;424.9;415.05;418.65;418.45;419.7;3156306;1327082519;06-JAN-2021;29969;INE196A01026
MARINE;EQ;221.65;222;210;211.35;214;220.1;69211;15061941.85;06-JAN-2021;543;INE01JE01010
MARKSANS;EQ;60.45;61.5;59.6;60.15;60.15;60.15;1630187;98984087.2;06-JAN-2021;6577;INE750C01026
MARSHALL;SM;14.9;14.9;14.25;14.25;14.25;14.2;18000;266250;06-JAN-2021;6;INE00SZ01018
MARUTI;EQ;7654;7749;7555.5;7628.6;7625.25;7655.45;840678;6448736327;06-JAN-2021;66618;INE585B01010
MASFIN;EQ;942.75;942.75;910;927.8;940;933.35;41433;38346894.5;06-JAN-2021;2624;INE348L01012
MASTEK;EQ;1324.05;1384.8;1295;1364;1365;1316.5;340981;459745147.4;06-JAN-2021;19840;INE759A01021
MATRIMONY;EQ;907.65;914;852.15;870.55;865;907.5;40196;35435152.2;06-JAN-2021;2579;INE866R01028
MAWANASUG;BE;35.75;36.4;33.9;35.85;35.65;35.65;67393;2398823.15;06-JAN-2021;286;INE636A01039
MAXHEALTH;EQ;142;144.9;141.2;143.65;143.65;141.75;331190;47419988.65;06-JAN-2021;4564;INE027H01010
MAXIND;EQ;65.7;66.8;64.05;65.1;65.15;65.6;585655;38440207.85;06-JAN-2021;4551;INE0CG601016
MAXVIL;EQ;48.95;49.75;46.65;47.05;46.7;48.85;295128;14194437.1;06-JAN-2021;1479;INE154U01015
MAYURUNIQ;EQ;313.85;317.6;308.1;313.55;313.05;311.55;94100;29487538.85;06-JAN-2021;4543;INE040D01038
MAZDA;EQ;517.5;523.1;508.25;509.35;508.55;516.9;3275;1691039.1;06-JAN-2021;262;INE885E01034
MAZDOCK;EQ;226.5;227.05;216;219.3;219.1;225.35;1720088;381507749.7;06-JAN-2021;20442;INE249Z01012
MBAPL;BE;67.5;71;67.5;71;71;71;9418;666187.1;06-JAN-2021;18;INE900L01010
MBECL;BE;6.1;6.1;5.8;6.05;6.05;5.85;72509;438129.1;06-JAN-2021;133;INE748A01016
MBLINFRA;EQ;20.9;23;20.9;20.9;20.9;21.95;1075322;22924307.45;06-JAN-2021;2125;INE912H01013
MCDHOLDING;BE;32.5;33.3;32.2;32.5;32.45;32.9;20083;655428.9;06-JAN-2021;136;INE836H01014
